Heuristic,Total_Experiments,Successful_Runs,Success_Rate_%,Wall_Time_Mean_s,Memory_Mean_MB,Search_Nodes_Mean,Plan_Length_Mean
Inc_DTG_Only,13,13,100.0,4.927239491389348,144.3689903846154,64.6923076923077,14.076923076923077
DTG_Only,13,13,100.0,11.87979241517874,166.30769230769232,132.46153846153845,11.846153846153847
DTG+Landmarks,13,13,100.0,4.889137139687171,144.69951923076923,64.6923076923077,14.076923076923077
FF_Heuristic,13,8,61.53846153846154,382.55607438087463,597.4375,38066.375,7.5
Inc_DTG+Landmarks,13,6,46.15384615384615,55.9354575475057,197.03125,16093.5,6.666666666666667
