Heuristic,Wall_Time_Mean_s,Wall_Time_Median_s,Wall_Time_Std_s,Wall_Time_Min_s,Wall_Time_Max_s,CPU_Time_Mean_s,CPU_Time_Median_s
Inc_DTG_Only,4.927239491389348,1.90208101272583,11.787001737545848,0.1995699405670166,43.864218950271606,1976.526937678,28.935130100000002
DTG_Only,11.87979241517874,1.095824956893921,38.0705514347514,0.2239990234375,138.53679180145264,12015.976604223617,16.722094624
DTG+Landmarks,4.889137139687171,1.9545350074768066,11.684088366066929,0.1908097267150879,43.49195909500122,1791.4633405527695,29.646655121000002
FF_Heuristic,382.55607438087463,4.716241955757141,630.6968701135105,0.18901300430297852,1432.2470090389252,4752687.262046205,172.8667557365
Inc_DTG+Landmarks,55.9354575475057,6.903655052185059,115.21594578052351,0.1959388256072998,289.8176529407501,56248.92013464783,409.989964936
